jur_clean,year,bp_units_total,co_units_total,bp_affordable_total,co_affordable_total
ADELANTO,2018.0,27.0,0.0,0.0,0.0
ADELANTO,2019.0,63.0,0.0,0.0,0.0
ADELANTO,2022.0,29.0,0.0,0.0,0.0
ADELANTO,2023.0,81.0,0.0,0.0,0.0
ADELANTO,2024.0,24.0,21.0,0.0,0.0
AGOURA HILLS,2018.0,27.0,23.0,0.0,0.0
AGOURA HILLS,2019.0,12.0,6.0,0.0,0.0
AGOURA HILLS,2020.0,3.0,0.0,0.0,0.0
AGOURA HILLS,2021.0,8.0,5.0,5.0,3.0
AGOURA HILLS,2022.0,21.0,7.0,10.0,4.0
AGOURA HILLS,2023.0,43.0,17.0,15.0,11.0
AGOURA HILLS,2024.0,50.0,30.0,18.0,16.0
ALAMEDA,2018.0,181.0,39.0,1.0,39.0
ALAMEDA,2019.0,557.0,0.0,83.0,0.0
ALAMEDA,2020.0,298.0,113.0,156.0,59.0
ALAMEDA,2021.0,605.0,34.0,69.0,2.0
ALAMEDA,2022.0,243.0,35.0,104.0,9.0
ALAMEDA,2023.0,1096.0,964.0,194.0,154.0
ALAMEDA,2024.0,311.0,96.0,184.0,29.0
ALAMEDA COUNTY,2018.0,119.0,68.0,11.0,11.0
ALAMEDA COUNTY,2019.0,89.0,83.0,26.0,19.0
ALAMEDA COUNTY,2020.0,63.0,105.0,44.0,39.0
ALAMEDA COUNTY,2021.0,75.0,102.0,47.0,64.0
ALAMEDA COUNTY,2022.0,106.0,19.0,75.0,8.0
ALAMEDA COUNTY,2023.0,376.0,56.0,299.0,46.0
ALAMEDA COUNTY,2024.0,254.0,55.0,122.0,33.0
ALBANY,2018.0,17.0,3.0,17.0,3.0
ALBANY,2019.0,31.0,9.0,24.0,9.0
ALBANY,2020.0,36.0,10.0,25.0,10.0
ALBANY,2021.0,19.0,0.0,19.0,0.0
ALBANY,2022.0,97.0,14.0,97.0,14.0
ALBANY,2023.0,11.0,17.0,11.0,17.0
ALBANY,2024.0,12.0,10.0,12.0,9.0
ALHAMBRA,2018.0,34.0,25.0,2.0,1.0
ALHAMBRA,2019.0,127.0,0.0,0.0,0.0
ALHAMBRA,2020.0,11.0,26.0,0.0,2.0
