jur_clean,year,preserved_units_total,preserved_units_rhna
ALAMEDA,2014,1,0
ALHAMBRA,2014,6,0
ALISO VIEJO,2023,1,0
ANAHEIM,2013,189,0
ANAHEIM,2017,178,0
ANAHEIM,2022,289,0
ANDERSON,2013,9,0
ANGELS CAMP,2016,1,0
ANTIOCH,2015,1,0
ANTIOCH,2016,1,0
APPLE VALLEY,2013,4,0
ARCATA,2022,36,0
ATASCADERO,2013,1,0
AVENAL,2013,2,0
AZUSA,2012,148,0
AZUSA,2013,17,0
BANNING,2013,6,0
BEAUMONT,2021,144,0
BELLFLOWER,2021,6,0
BERKELEY,2014,272,0
BIG BEAR LAKE,2021,6,0
BISHOP,2022,70,0
BRAWLEY,2014,5,0
BREA,2013,9,0
BREA,2016,11,0
BUENA PARK,2013,10,0
BUTTE COUNTY,2018,8,0
CALEXICO,2011,93,0
CALIFORNIA CITY,2012,1,0
CAMARILLO,2020,4,0
CAMPBELL,2011,8,0
CAMPBELL,2015,15,0
CARSON,2016,28,0
CARSON,2022,16,0
CERRITOS,2020,2,0
CHINO,2022,5,0
CHINO HILLS,2014,6,0
CHOWCHILLA,2020,2,0
CLOVERDALE,2014,99,0
COACHELLA,2013,161,0
COALINGA,2012,2,0
COLFAX,2023,2,0
COLTON,2013,129,0
CONCORD,2013,2,0
CONCORD,2016,89,0
CORCORAN,2021,2,0
COVINA,2020,21,0
CUDAHY,2023,1,0
CUPERTINO,2019,9,0
CUPERTINO,2021,4,0
DALY CITY,2020,1,0
DELANO,2016,2,0
DINUBA,2009,2,0
DINUBA,2021,1,0
DINUBA,2023,2,0
DORRIS,2012,1,0
DORRIS,2021,6,0
EAST PALO ALTO,2012,49,0
EAST PALO ALTO,2023,87,0
EL CAJON,2013,4,0
EL CENTRO,2013,3,0
EL CENTRO,2014,4,0
EL DORADO COUNTY,2020,126,0
EL DORADO COUNTY,2021,159,0
ENCINITAS,2022,4,0
ESCALON,2014,2,0
EUREKA,2013,2,0
EUREKA,2016,1,0
EXETER,2023,6,0
FAIRFAX,2015,27,0
FAIRFIELD,2013,28,0
FAIRFIELD,2020,7,0
FAIRFIELD,2021,127,0
FORT BRAGG,2012,5,0
FORT BRAGG,2015,3,0
FREMONT,2013,31,0
FRESNO,2013,324,0
FRESNO,2014,162,0
FRESNO,2023,69,0
FRESNO COUNTY,2013,5,0
FULLERTON,2012,16,0
FULLERTON,2014,1,0
FULLERTON,2023,147,0
GARDEN GROVE,2012,17,0
GARDEN GROVE,2013,5,0
GARDEN GROVE,2021,0,220
GLENDALE,2014,28,0
HAYWARD,2016,92,0
HAYWARD,2019,134,0
HEMET,2020,158,0
HEMET,2021,782,0
HERCULES,2020,84,0
HOLLISTER,2013,1,0
