jur_clean,planning_period,rhna_target_total,units_reported_total,pct_achieved,units_remaining,cycle_label
ADELANTO,10/15/2013 - 10/15/2021,2840,140,0.04929577464788732,2700,RHNA5
AGOURA HILLS,10/15/2013 - 10/15/2021,115,62,0.5391304347826087,53,RHNA5
ALAMEDA,01/31/2015 - 01/31/2023,1723,2528,1.4672083575159605,-805,RHNA5
ALAMEDA COUNTY,01/31/2015 - 01/31/2023,1769,756,0.42736009044657997,1013,RHNA5
ALBANY,01/31/2015 - 01/31/2023,335,375,1.1194029850746268,-40,RHNA5
ALHAMBRA,10/15/2013 - 10/15/2021,1492,707,0.4738605898123324,785,RHNA5
ALISO VIEJO,10/15/2013 - 10/15/2021,39,1262,32.35897435897436,-1223,RHNA5
ALPINE COUNTY,06/30/2014 - 06/30/2019,30,17,0.5666666666666667,13,RHNA5
ALTURAS,06/30/2014 - 06/30/2019,5,9,1.8,-4,RHNA5
AMADOR,06/30/2014 - 09/15/2021,2,0,0.0,2,RHNA5
AMADOR COUNTY,06/30/2014 - 09/15/2021,49,95,1.9387755102040816,-46,RHNA5
AMERICAN CANYON,01/31/2015 - 01/31/2023,392,875,2.232142857142857,-483,RHNA5
ANAHEIM,10/15/2013 - 10/15/2021,5702,8809,1.5448965275341986,-3107,RHNA5
ANDERSON,06/30/2014 - 04/15/2020,136,222,1.6323529411764706,-86,RHNA5
ANGELS CAMP,06/30/2014 - 06/30/2019,161,108,0.6708074534161491,53,RHNA5
ANTIOCH,01/31/2015 - 01/31/2023,1448,2557,1.7658839779005524,-1109,RHNA5
APPLE VALLEY,10/15/2013 - 10/15/2021,3334,637,0.1910617876424715,2697,RHNA5
ARCADIA,10/15/2013 - 10/15/2021,1054,640,0.6072106261859582,414,RHNA5
ARCATA,06/30/2014 - 06/30/2019,363,364,1.002754820936639,-1,RHNA5
ARROYO GRANDE,06/30/2014 - 12/31/2020,242,192,0.7933884297520661,50,RHNA5
ARTESIA,10/15/2013 - 10/15/2021,120,111,0.925,9,RHNA5
ARVIN,12/31/2015 - 12/31/2023,1169,651,0.5568862275449101,518,RHNA5
ATASCADERO,06/30/2014 - 12/31/2020,393,713,1.8142493638676844,-320,RHNA5
ATHERTON,01/31/2015 - 01/31/2023,93,305,3.2795698924731185,-212,RHNA5
ATWATER,03/31/2016 - 03/31/2024,1765,506,0.28668555240793203,1259,RHNA5
AUBURN,10/31/2013 - 05/14/2021,308,174,0.564935064935065,134,RHNA5
AVALON,10/15/2013 - 10/15/2021,80,8,0.1,72,RHNA5
AVENAL,01/31/2016 - 01/31/2024,639,110,0.17214397496087636,529,RHNA5
AZUSA,10/15/2013 - 10/15/2021,779,1306,1.6765083440308088,-527,RHNA5
BAKERSFIELD,12/31/2015 - 12/31/2023,36290,17408,0.47969137503444476,18882,RHNA5
