jur_clean,year,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,bp_units_total,co_units_total,bp_affordable_total,co_affordable_total,bp_affordable_share,co_affordable_share
CARLSBAD,2018,0.0,0.0,4.0,1.0,0.0,28.0,210.0,0.0,0.0,3.0,1.0,0.0,21.0,193.0,243.0,218.0,33.0,25.0,0.13580246913580246,0.11467889908256881
CARLSBAD,2019,0.0,2.0,47.0,2.0,0.0,59.0,212.0,0.0,0.0,111.0,0.0,56.0,22.0,359.0,322.0,548.0,110.0,189.0,0.3416149068322981,0.3448905109489051
CARLSBAD,2020,45.0,1.0,29.0,3.0,0.0,39.0,260.0,0.0,2.0,21.0,2.0,0.0,24.0,502.0,377.0,551.0,117.0,49.0,0.3103448275862069,0.08892921960072596
CARLSBAD,2021,0.0,2.0,4.0,3.0,0.0,65.0,76.0,0.0,1.0,48.0,2.0,0.0,70.0,288.0,150.0,409.0,74.0,121.0,0.49333333333333335,0.29584352078239606
CARLSBAD,2022,0.0,0.0,0.0,0.0,0.0,82.0,43.0,48.0,0.0,2.0,0.0,0.0,65.0,105.0,125.0,220.0,82.0,115.0,0.656,0.5227272727272727
CARLSBAD,2023,44.0,0.0,158.0,0.0,12.0,82.0,344.0,0.0,0.0,0.0,0.0,0.0,46.0,19.0,640.0,65.0,296.0,46.0,0.4625,0.7076923076923077
CARLSBAD,2024,3.0,0.0,14.0,0.0,0.0,51.0,221.0,0.0,0.0,87.0,0.0,0.0,67.0,80.0,289.0,234.0,68.0,154.0,0.23529411764705882,0.6581196581196581
CHULA VISTA,2018,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,1675.0,269.0,0.0,0.0,0.0,0.0
CHULA VISTA,2019,0.0,0.0,0.0,0.0,0.0,0.0,2126.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.0,2126.0,1394.0,0.0,0.0,0.0,0.0
CHULA VISTA,2020,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,30.0,0.0,1225.0,960.0,1255.0,0.0,30.0,0.0,0.02390438247011952
CHULA VISTA,2021,58.0,0.0,65.0,0.0,0.0,0.0,1729.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,1852.0,774.0,123.0,0.0,0.066414686825054,0.0
CHULA VISTA,2022,95.0,0.0,276.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.0,1182.0,1341.0,371.0,0.0,0.31387478849407785,0.0
CHULA VISTA,2023,0.0,0.0,58.0,0.0,0.0,0.0,821.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,879.0,1062.0,58.0,0.0,0.06598407281001138,0.0
CHULA VISTA,2024,14.0,0.0,41.0,0.0,0.0,0.0,1588.0,42.0,0.0,213.0,0.0,0.0,0.0,1093.0,1643.0,1348.0,55.0,255.0,0.033475349969567865,0.18916913946587538
CORONADO,2018,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0
CORONADO,2019,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,27.0,0.0,0.0,0.0,0.0
CORONADO,2020,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0
CORONADO,2021,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,27.0,0.0,0.0,0.0,0.0
CORONADO,2022,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,52.0,30.0,0.0,0.0,0.0,0.0
CORONADO,2023,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.0,30.0,0.0,0.0,0.0,0.0
CORONADO,2024,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,40.0,42.0,0.0,0.0,0.0,0.0
DEL MAR,2018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
DEL MAR,2019,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,1.0,0.8,1.0
DEL MAR,2020,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,3.0,14.0,3.0,0.9333333333333333,1.0
DEL MAR,2021,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,24.0,6.0,14.0,5.0,0.5833333333333334,0.8333333333333334
DEL MAR,2022,0.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,26.0,19.0,15.0,14.0,0.5769230769230769,0.7368421052631579
DEL MAR,2023,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,27.0,23.0,15.0,15.0,0.5555555555555556,0.6521739130434783
DEL MAR,2024,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,20.0,21.0,11.0,12.0,0.55,0.5714285714285714
EL CAJON,2018,0.0,0.0,74.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,168.0,53.0,74.0,0.0,0.44047619047619047,0.0
EL CAJON,2019,0.0,0.0,1.0,84.0,0.0,0.0,147.0,29.0,0.0,46.0,0.0,0.0,0.0,109.0,232.0,184.0,85.0,75.0,0.36637931034482757,0.4076086956521739
EL CAJON,2020,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,35.0,0.0,0.0,0.0,0.0
EL CAJON,2021,0.0,0.0,0.0,117.0,0.0,12.0,26.0,0.0,0.0,0.0,113.0,0.0,3.0,49.0,155.0,165.0,129.0,116.0,0.832258064516129,0.703030303030303
EL CAJON,2022,0.0,0.0,0.0,4.0,0.0,35.0,32.0,0.0,0.0,0.0,1.0,0.0,18.0,19.0,71.0,38.0,39.0,19.0,0.5492957746478874,0.5
EL CAJON,2023,0.0,0.0,0.0,26.0,0.0,34.0,80.0,0.0,0.0,0.0,7.0,0.0,30.0,13.0,140.0,50.0,60.0,37.0,0.42857142857142855,0.74
