JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,DESCRIPTION,jur_clean,year
CARLSBAD,San Diego,2024,155-200-12,2775 State St,Carlsbad Village COASTER Station,Site 14,2024-01-30,0,11,0,0,Shortfall of Sites,0.78,V-B,V-B,28,35,11.0,Non-Vacant,COASTER Station,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-301-06,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,27,0,0,Shortfall of Sites,1.0,R/R-40,RD-M/C-2,37.5,40,27.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall.,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-301-10,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,26,0,0,Shortfall of Sites,1.0,R/R-40,RD-M/C-2,37.5,40,26.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall.,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-301-11,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,337,85,0,Shortfall of Sites,22.6,R/R-40/R-23/OS,RD-M/C-2/OS,19,40,422.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall and a North County Transit District transit station.,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-301-16,1810 Marron Road,North County Plaza,Site 1,2024-01-30,0,36,0,204,Shortfall of Sites,19.0,R/R-40/OS,RD-M-Q/C-2-Q/OS,37.5,40,240.0,Non-Vacant,"The site is a nearly 20-acre shopping center (North County Plaza) developed with stores, restaurants and other businesses",CARLSBAD,2024
CARLSBAD,San Diego,2024,156-302-14,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,1,0,0,Shortfall of Sites,0.22,R/R-40,RD-M/C-2,37.5,40,1.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall.,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-302-17,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,1,0,0,Shortfall of Sites,0.11,R/R-40,RD-M/C02,37.5,40,1.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall.,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-302-23,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,12,0,0,Shortfall of Sites,0.77,R/R-40,RD-M/C-2,37.5,40,12.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall.,CARLSBAD,2024
CARLSBAD,San Diego,2024,156-302-35,2501 El Camnio Real,The Shoppes at Carlsbad Parking Lot,Site 2,2024-01-30,0,337,167,0,Shortfall of Sites,29.81,R/R-40/R-23,RD-M/C-2,19,40,504.0,Non-Vacant,The site encompasses the parking lots for The Shoppes at Carlsbad mall.,CARLSBAD,2024
CARLSBAD,San Diego,2024,167-080-33,El Camino Real,Chestnut at El Camino Real,Site 3,2024-01-30,0,0,7,0,Shortfall of Sites,0.25,R-15,RD-M,11.5,15,7.0,Vacant,,CARLSBAD,2024
