jur_clean,year,bp_units_total,co_units_total,bp_affordable_total,co_affordable_total,bp_affordable_share,co_affordable_share,jur_norm,population,median_household_income,median_gross_rent,pct_renter,co_units_per_10k_pop
CARLSBAD,2024,289.0,234.0,68.0,154.0,0.23529411764705882,0.6581196581196581,CARLSBAD,,,,,
CHULA VISTA,2024,1643.0,1348.0,55.0,255.0,0.033475349969567865,0.18916913946587538,CHULA VISTA,,,,,
CORONADO,2024,40.0,42.0,0.0,0.0,0.0,0.0,CORONADO,,,,,
DEL MAR,2024,20.0,21.0,11.0,12.0,0.55,0.5714285714285714,DEL MAR,,,,,
EL CAJON,2024,210.0,87.0,125.0,37.0,0.5952380952380952,0.42528735632183906,EL CAJON,,,,,
ENCINITAS,2024,695.0,258.0,121.0,48.0,0.17410071942446043,0.18604651162790697,ENCINITAS,,,,,
ESCONDIDO,2024,408.0,245.0,105.0,72.0,0.25735294117647056,0.2938775510204082,ESCONDIDO,,,,,
IMPERIAL BEACH,2024,29.0,29.0,0.0,0.0,0.0,0.0,IMPERIAL BEACH,,,,,
LA MESA,2024,186.0,120.0,117.0,77.0,0.6290322580645161,0.6416666666666667,LA MESA,,,,,
LEMON GROVE,2024,65.0,160.0,4.0,10.0,0.06153846153846154,0.0625,LEMON GROVE,,,,,
NATIONAL CITY,2024,204.0,272.0,125.0,146.0,0.6127450980392157,0.5367647058823529,NATIONAL CITY,,,,,
OCEANSIDE,2024,595.0,682.0,201.0,219.0,0.3378151260504202,0.32111436950146627,OCEANSIDE,,,,,
POWAY,2024,63.0,281.0,0.0,1.0,0.0,0.0035587188612099642,POWAY,,,,,
SAN DIEGO,2024,8782.0,5095.0,1061.0,695.0,0.12081530403097245,0.1364082433758587,SAN DIEGO,,,,,
SAN MARCOS,2024,396.0,189.0,309.0,96.0,0.7803030303030303,0.5079365079365079,SAN MARCOS,,,,,
SANTEE,2024,71.0,35.0,25.0,9.0,0.352112676056338,0.2571428571428571,SANTEE,,,,,
SOLANA BEACH,2024,82.0,16.0,52.0,15.0,0.6341463414634146,0.9375,SOLANA BEACH,,,,,
VISTA,2024,218.0,221.0,0.0,54.0,0.0,0.24434389140271492,VISTA,,,,,
