issue_year,permits,du_total,adu_total,jadu_total,share_du_missing
2007.0,2,0.0,0.0,0.0,1.0
2008.0,1,0.0,0.0,0.0,1.0
2009.0,5,0.0,0.0,0.0,1.0
2010.0,1,0.0,0.0,0.0,1.0
2011.0,1,0.0,0.0,0.0,1.0
2013.0,1,0.0,0.0,0.0,1.0
2018.0,22198,0.0,0.0,0.0,1.0
2019.0,29390,0.0,0.0,0.0,1.0
2020.0,27797,0.0,0.0,0.0,1.0
2021.0,34122,5.0,0.0,0.0,0.9965125139206377
2022.0,49311,750.0,31.0,5.0,0.9521607754861998
2023.0,59253,7502.0,1373.0,169.0,0.8923430037297689
2024.0,51919,9986.0,1710.0,170.0,0.8762688033282613
2025.0,41203,7869.0,1743.0,88.0,0.8723151226852414
2026.0,7570,2025.0,409.0,16.0,0.8379128137384412
