jur_clean,year,population_total,housing_units_total,housing_units_per_1000_pop
CARLSBAD,2020.0,115029.0,47734.0,414.9736153491728
CARLSBAD,2021.0,115889.0,47981.0,414.0254899084469
CARLSBAD,2022.0,115997.0,48385.0,417.12285662560237
CARLSBAD,2023.0,116455.0,48601.0,417.33716886350953
CARLSBAD,2024.0,116652.0,48659.0,417.12958200459485
CARLSBAD,2025.0,116368.0,48888.0,420.1154956689124
CHULA VISTA,2020.0,275127.0,87284.0,317.2498518865833
CHULA VISTA,2021.0,276575.0,87838.0,317.59197324414714
CHULA VISTA,2022.0,276738.0,88625.0,320.248755140241
CHULA VISTA,2023.0,279013.0,89482.0,320.7090709035063
CHULA VISTA,2024.0,280840.0,90639.0,322.7424868252386
CHULA VISTA,2025.0,281401.0,91485.0,325.10545449376514
CORONADO,2020.0,23504.0,9573.0,407.2923757658271
CORONADO,2021.0,22445.0,9579.0,426.7765649365115
CORONADO,2022.0,22163.0,9591.0,432.7482741506114
CORONADO,2023.0,22393.0,9601.0,428.7500558210155
CORONADO,2024.0,21812.0,9617.0,440.90408949202276
CORONADO,2025.0,22610.0,9646.0,426.625386996904
DEL MAR,2020.0,3951.0,2574.0,651.4806378132118
DEL MAR,2021.0,3951.0,2576.0,651.9868387749937
DEL MAR,2022.0,3924.0,2582.0,658.0020387359837
DEL MAR,2023.0,3939.0,2601.0,660.3198781416603
DEL MAR,2024.0,3948.0,2621.0,663.8804457953394
DEL MAR,2025.0,3950.0,2641.0,668.6075949367089
EL CAJON,2020.0,106321.0,36749.0,345.6419710123118
EL CAJON,2021.0,106348.0,36786.0,345.90213262120585
EL CAJON,2022.0,105597.0,36837.0,348.84513764595584
EL CAJON,2023.0,105446.0,36871.0,349.6671281983195
EL CAJON,2024.0,105429.0,36925.0,350.23570364890116
EL CAJON,2025.0,104932.0,37011.0,352.71413868028816
ENCINITAS,2020.0,61506.0,26408.0,429.35648554612555
ENCINITAS,2021.0,61713.0,26516.0,429.6663587898822
ENCINITAS,2022.0,61570.0,26670.0,433.16550267987657
ENCINITAS,2023.0,61716.0,26776.0,433.8583187504051
ENCINITAS,2024.0,61851.0,26879.0,434.57664386994554
ENCINITAS,2025.0,61956.0,27118.0,437.69772096326426
ESCONDIDO,2020.0,151289.0,49998.0,330.4800745592872
ESCONDIDO,2021.0,151389.0,50160.0,331.33186691239126
ESCONDIDO,2022.0,150778.0,50383.0,334.15352372362014
ESCONDIDO,2023.0,151256.0,50655.0,334.8958057862167
ESCONDIDO,2024.0,151386.0,50848.0,335.8831067602024
ESCONDIDO,2025.0,150425.0,50883.0,338.26159215555924
IMPERIAL BEACH,2020.0,26577.0,10105.0,380.21597622003986
IMPERIAL BEACH,2021.0,26465.0,10118.0,382.31626676742866
IMPERIAL BEACH,2022.0,26288.0,10159.0,386.450091296409
IMPERIAL BEACH,2023.0,26321.0,10188.0,387.0673606625888
IMPERIAL BEACH,2024.0,26462.0,10220.0,386.2141939384778
IMPERIAL BEACH,2025.0,26369.0,10269.0,389.43456331298114
LA MESA,2020.0,60637.0,26063.0,429.8200768507677
LA MESA,2021.0,60604.0,26137.0,431.27516335555407
LA MESA,2022.0,60498.0,26319.0,435.03917484875535
LA MESA,2023.0,60959.0,26589.0,436.17841500024605
