jur_clean,planning_period,rhna_target_total,units_reported_total,pct_achieved,units_remaining,cycle_label
CARLSBAD,04/30/2013 - 04/30/2021,4999,4225,0.8451690338067613,774,RHNA5
CHULA VISTA,04/30/2013 - 04/30/2021,12861,10688,0.8310395770157841,2173,RHNA5
CORONADO,04/30/2013 - 04/30/2021,50,386,7.72,-336,RHNA5
DEL MAR,04/30/2013 - 04/30/2021,61,53,0.8688524590163934,8,RHNA5
EL CAJON,04/30/2013 - 04/30/2021,5805,746,0.1285099052540913,5059,RHNA5
ENCINITAS,04/30/2013 - 04/30/2021,2353,1389,0.5903102422439439,964,RHNA5
ESCONDIDO,04/30/2013 - 04/30/2021,4175,1873,0.44862275449101796,2302,RHNA5
IMPERIAL BEACH,04/30/2013 - 04/30/2021,254,370,1.4566929133858268,-116,RHNA5
LA MESA,04/30/2013 - 04/30/2021,1722,1877,1.0900116144018583,-155,RHNA5
LEMON GROVE,04/30/2013 - 04/30/2021,309,416,1.3462783171521036,-107,RHNA5
NATIONAL CITY,04/30/2013 - 04/30/2021,1863,1166,0.6258722490606549,697,RHNA5
OCEANSIDE,04/30/2013 - 04/30/2021,6210,2043,0.3289855072463768,4167,RHNA5
POWAY,04/30/2013 - 04/30/2021,1253,423,0.3375897845171588,830,RHNA5
SAN DIEGO,04/30/2013 - 04/30/2021,88096,44535,0.5055280602978569,43561,RHNA5
SAN MARCOS,04/30/2013 - 04/30/2021,4183,4209,1.0062156347119293,-26,RHNA5
SANTEE,04/30/2013 - 04/30/2021,3660,1454,0.39726775956284155,2206,RHNA5
SOLANA BEACH,04/30/2013 - 04/30/2021,340,83,0.24411764705882352,257,RHNA5
VISTA,04/30/2013 - 04/30/2021,1374,3090,2.2489082969432315,-1716,RHNA5
