_id,Jurisdiction,Planning Period,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %,jur_clean,units_reported_total,rhna_target_total,pct_achieved,cycle_label
56,CARLSBAD,04/30/2013 - 04/30/2021,90,912,0.1,304,693,0.44,515,1062,0.48,3316,2332,1.42,CARLSBAD,4225,4999,0.8451690338067613,RHNA5
58,CHULA VISTA,04/30/2013 - 04/30/2021,115,3209,0.04,565,2439,0.23,594,2257,0.26,9414,4956,1.9,CHULA VISTA,10688,12861,0.8310395770157841,RHNA5
139,ESCONDIDO,04/30/2013 - 04/30/2021,105,1042,0.1,94,791,0.12,85,733,0.12,1589,1609,0.99,ESCONDIDO,1873,4175,0.44862275449101796,RHNA5
140,ENCINITAS,04/30/2013 - 04/30/2021,83,587,0.14,40,446,0.09,79,413,0.19,1187,907,1.31,ENCINITAS,1389,2353,0.5903102422439439,RHNA5
157,DEL MAR,04/30/2013 - 04/30/2021,0,7,0.0,1,5,0.2,18,15,1.2,34,34,1.0,DEL MAR,53,61,0.8688524590163934,RHNA5
170,EL CAJON,04/30/2013 - 04/30/2021,48,1448,0.03,168,1101,0.15,60,1019,0.06,470,2237,0.21,EL CAJON,746,5805,0.1285099052540913,RHNA5
183,IMPERIAL BEACH,04/30/2013 - 04/30/2021,3,63,0.05,32,48,0.67,10,45,0.22,325,98,3.32,IMPERIAL BEACH,370,254,1.4566929133858268,RHNA5
214,LEMON GROVE,04/30/2013 - 04/30/2021,90,77,1.17,105,59,1.78,105,54,1.94,116,119,0.97,LEMON GROVE,416,309,1.3462783171521036,RHNA5
240,LA MESA,04/30/2013 - 04/30/2021,28,430,0.07,22,326,0.07,585,302,1.94,1242,664,1.87,LA MESA,1877,1722,1.0900116144018583,RHNA5
296,SAN DIEGO,04/30/2013 - 04/30/2021,3318,21977,0.15,3384,16703,0.2,41,15462,0.0,37792,33954,1.11,SAN DIEGO,44535,88096,0.5055280602978569,RHNA5
310,POWAY,04/30/2013 - 04/30/2021,73,201,0.36,117,152,0.77,37,282,0.13,196,618,0.32,POWAY,423,1253,0.3375897845171588,RHNA5
337,NATIONAL CITY,04/30/2013 - 04/30/2021,110,465,0.24,189,353,0.54,210,327,0.64,657,718,0.92,NATIONAL CITY,1166,1863,0.6258722490606549,RHNA5
393,SOLANA BEACH,04/30/2013 - 04/30/2021,0,85,0.0,6,65,0.09,23,59,0.39,54,131,0.41,SOLANA BEACH,83,340,0.24411764705882352,RHNA5
399,SANTEE,04/30/2013 - 04/30/2021,10,914,0.01,43,694,0.06,180,642,0.28,1221,1410,0.87,SANTEE,1454,3660,0.39726775956284155,RHNA5
435,SAN MARCOS,04/30/2013 - 04/30/2021,257,1043,0.25,149,793,0.19,128,734,0.17,3675,1613,2.28,SAN MARCOS,4209,4183,1.0062156347119293,RHNA5
480,CORONADO,04/30/2013 - 04/30/2021,12,13,0.92,0,9,0.0,0,9,0.0,374,19,19.68,CORONADO,386,50,7.72,RHNA5
501,OCEANSIDE,04/30/2013 - 04/30/2021,310,1549,0.2,187,1178,0.16,331,1090,0.3,1215,2393,0.51,OCEANSIDE,2043,6210,0.3289855072463768,RHNA5
535,VISTA,04/30/2013 - 04/30/2021,156,343,0.45,144,260,0.55,2,241,0.01,2788,530,5.26,VISTA,3090,1374,2.2489082969432315,RHNA5
