source,path,jur_key,raw_examples
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,adelanto,ADELANTO
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,agoura hills,AGOURA HILLS
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,alameda,ALAMEDA
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,alameda county,ALAMEDA COUNTY
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,albany,ALBANY
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,alhambra,ALHAMBRA
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,aliso viejo,ALISO VIEJO
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,alpine county,ALPINE COUNTY
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,alturas,ALTURAS
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,amador,AMADOR
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,amador county,AMADOR COUNTY
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,american canyon,AMERICAN CANYON
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,anaheim,ANAHEIM
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,anderson,ANDERSON
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,angels camp,ANGELS CAMP
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,antioch,ANTIOCH
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,apple valley,APPLE VALLEY
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,arcadia,ARCADIA
rhna5,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/rhna5_city_summary.csv,arcata,ARCATA
