column,non_null_count,numeric_non_null_count,sum_numeric,min_numeric,max_numeric,sample_values,source,path,keyword_group,city_col,year_col,rows_scanned
BP_VLOW_INCOME_DR,1,1,276.0,276.0,276.0,276.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_VLOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_LOW_INCOME_DR,1,1,320.0,320.0,320.0,320.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_LOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_MOD_INCOME_DR,1,1,465.0,465.0,465.0,465.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_MOD_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_ABOVE_MOD_INCOME,1,1,7721.0,7721.0,7721.0,7721.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_VLOW_INCOME_DR,1,1,137.0,137.0,137.0,137.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_VLOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_LOW_INCOME_DR,1,1,463.0,463.0,463.0,463.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_LOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_MOD_INCOME_DR,1,1,95.0,95.0,95.0,95.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_MOD_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
CO_ABOVE_MOD_INCOME,1,1,4400.0,4400.0,4400.0,4400.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
bp_units_total,1,1,8782.0,8782.0,8782.0,8782.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
co_units_total,1,1,5095.0,5095.0,5095.0,5095.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
bp_affordable_total,1,1,1061.0,1061.0,1061.0,1061.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
co_affordable_total,1,1,695.0,695.0,695.0,695.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
bp_affordable_share,1,1,0.1208153040309724,0.1208153040309724,0.1208153040309724,0.1208153040309724,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
co_affordable_share,1,1,0.1364082433758587,0.1364082433758587,0.1364082433758587,0.1364082433758587,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,supply_keywords,jur_clean,year,1
BP_VLOW_INCOME_DR,1,1,276.0,276.0,276.0,276.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
BP_VLOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
BP_LOW_INCOME_DR,1,1,320.0,320.0,320.0,320.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
BP_LOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
BP_MOD_INCOME_DR,1,1,465.0,465.0,465.0,465.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
BP_MOD_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
BP_ABOVE_MOD_INCOME,1,1,7721.0,7721.0,7721.0,7721.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
CO_VLOW_INCOME_DR,1,1,137.0,137.0,137.0,137.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
CO_VLOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
CO_LOW_INCOME_DR,1,1,463.0,463.0,463.0,463.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
CO_LOW_INCOME_NDR,1,1,0.0,0.0,0.0,0.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
CO_MOD_INCOME_DR,1,1,95.0,95.0,95.0,95.0,apr_a2_supply,/Users/laurenvo/Documents/github/housing-dashboard-prototype/data/processed/sd_apr_a2_city_year_supply.csv,rhna_keywords,jur_clean,year,1
